"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка калькулятора на корректность расчета и ожидание указанного времени в таймере","55184","Тестирование калькулятора","","2026-02-17","passed","2026-02-17","","test_calc","",""
"Проверка корректности суммы заказа","11533","Тестирование магазина","","2026-02-17","passed","2026-02-17","","test_shop","",""
